id,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
396,Mortal Kombat,https://www.imdb.com/title/tt1386939/?ref_=adv_li_tt,2011,M,8.4,"3,870","A reboot of the Mortal Kombat franchise with a retcon to the earliest periods in the series, featuring a multitude of game modes.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
397,Watch Dogs 2,https://www.imdb.com/title/tt5788078/?ref_=adv_li_tt,2016,M,7.6,"3,868","In San Francisco, hacker Marcus Holloway joins DedSec, to take down a corrupt system by fighting and hacking his way through the entire San Francisco Bay.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
398,Watch Dogs 2,https://www.imdb.com/title/tt5788078/?ref_=adv_li_tt,2016,M,7.6,"3,866","In San Francisco, hacker Marcus Holloway joins DedSec, to take down a corrupt system by fighting and hacking his way through the entire San Francisco Bay.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
399,Fallout 2: A Post-Nuclear Role-Playing Game,https://www.imdb.com/title/tt0183066/?ref_=adv_li_tt,1998,M,9.4,"3,861","In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
400,Prince of Persia: Warrior Within,https://www.imdb.com/title/tt0437437/?ref_=adv_li_tt,2004,M,8.6,"3,842",A proud yet innocent prince is being chased by The Dahaka (Guardian of Time) as a consequence of his actions. He seeks aid from The Empress of Time to escape from the notion that he cannot change his fate.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
401,Rocket League,https://www.imdb.com/title/tt5002806/?ref_=adv_li_tt,2015,E,7.8,"3,842","A physics-based online game where players engage in soccer-type matches using rocket powered, customizable cars.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
402,Rocket League,https://www.imdb.com/title/tt5002806/?ref_=adv_li_tt,2015,E,7.8,"3,840","A physics-based online game where players engage in soccer-type matches using rocket powered, customizable cars.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
403,Call of Duty 3,https://www.imdb.com/title/tt0795349/?ref_=adv_li_tt,2006,T,7.2,"3,825","In Call of Duty 3 the player takes part in the Normandy breakout, where the British, Canadian, Polish, US, and French forces are pushed into the village of Chambois, France.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
404,Batman: The Telltale Series,https://www.imdb.com/title/tt5785964/?ref_=adv_li_tt,2016,M,8,"3,824","Follows Bruce Wayne as he tries to juggle being the Billionaire and owner of Wayne Enterprises, with the masked vigilante Batman.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
405,Dead Space 3,https://www.imdb.com/title/tt2189256/?ref_=adv_li_tt,2013,M,7.6,"3,792","Set on the frozen planet of Tau Volantis, Isaac Clarke and John Carver team up as they attempt to end the Necromorph threat once and for all.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,Dead Space 3,https://www.imdb.com/title/tt2189256/?ref_=adv_li_tt,2013,M,7.6,"3,791","Set on the frozen planet of Tau Volantis, Isaac Clarke and John Carver team up as they attempt to end the Necromorph threat once and for all.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
